			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
rnd-1_family-409	LTR	LTR	0	0	90	2076	2750	1653	4355	11049	9172	6234	4689	2119	1235	285	1161	929	1010	1087	543	1509	347	622	473	99	365	446	101	0	50	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-428	LINE	LINE	0	0	278	888	2116	0	0	0	0	166	305	675	278	493	1140	1265	660	2119	1587	4138	3920	2079	2424	1254	2435	2604	1768	1225	1078	239	535	0	333	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-406	LTR	Copia	0	0	1033	10047	17051	8482	7163	3568	9805	6014	5014	289	1562	2867	3845	2011	1704	1223	3345	2585	3249	2267	1991	1625	1984	1813	981	2164	2050	2848	2924	4658	1273	4144	6874	2844	41	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-712	Retro	Retro	0	0	0	0	0	0	0	86	0	112	0	137	296	130	404	617	301	244	221	156	158	121	254	39	145	140	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1884	DNA	DNA	0	308	531	154	146	1052	1066	613	218	826	618	76	154	298	74	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-326	LINE	L1	0	0	0	32	86	0	180	225	399	110	260	498	650	615	1042	648	606	2817	987	4208	4758	5661	4813	7241	5398	13134	15818	16204	20431	8338	8563	3448	645	449	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-856	DNA	DNA	0	0	0	0	0	0	95	0	59	119	0	297	412	3102	3207	5996	6094	14014	14516	15206	15357	13892	14327	12499	11991	9883	5232	4415	2208	1446	1126	252	117	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-830	Retro	Retro	0	0	0	0	0	0	0	84	57	43	382	812	1129	1519	1077	1063	1018	772	464	480	231	0	239	140	0	21	83	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1050	LTR	LTR	0	0	0	0	64	59	45	0	58	55	116	155	70	101	147	51	31	101	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-5705	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	113	316	0	627	603	690	559	1053	1508	1233	1112	1268	1640	1908	760	1672	401	309	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-611	LINE	L1	0	0	0	0	0	0	0	0	68	0	371	77	1138	564	1074	998	381	4776	3519	4768	4804	4467	8672	11824	15042	6031	11697	3787	7881	2558	486	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-831	DNA	DNA	0	59	136	66	178	191	674	969	330	730	1027	799	1218	1162	857	1351	1120	998	534	717	688	418	325	114	66	59	66	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4323	DNA	DNA	0	0	0	0	0	0	0	0	124	1128	374	0	430	0	3800	2254	812	126	477	0	4076	4171	2446	6412	4705	4688	4107	226	1857	1126	426	848	470	580	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-244	Retro	Retro	29	0	34	58	0	230	190	756	506	861	487	1614	1202	1027	578	1321	1445	1048	1210	837	777	380	446	482	92	192	367	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3280	LTR	Copia	0	0	0	8807	6618	5696	7625	13314	5328	4735	5403	1074	1911	1176	1050	1576	573	1943	558	940	213	140	0	222	1032	0	397	153	6686	2634	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-962	LTR	LTR	223	327	1257	4206	7562	7220	8652	6448	3963	1189	655	0	421	617	97	197	591	0	796	1243	1717	677	813	862	339	1702	2938	1751	1910	697	1907	1675	788	580	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-3274	LTR	LTR	0	0	0	0	44	0	180	324	596	1252	2059	2792	1757	2937	2097	3716	3433	3033	2438	2814	1969	2993	2434	1837	2943	2633	2183	715	1250	101	641	342	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3214	LTR	LTR	0	0	0	0	0	0	0	0	299	0	123	0	0	0	599	646	1791	890	2313	3337	3933	2723	2434	2027	686	940	199	780	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1065	LTR	LTR	0	0	0	0	0	0	0	390	0	78	391	847	390	825	67	825	880	171	440	264	486	626	709	461	178	531	116	715	165	497	423	197	109	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1785	DNA	PIF-Harbinger	0	0	0	33	0	0	175	39	228	105	487	1095	599	966	3657	3827	7897	10941	16893	11816	14498	11990	14075	18116	11958	9355	6982	4007	2881	1043	248	341	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-125	LTR	LTR	32	0	0	0	0	69	43	906	883	1878	3744	4951	5812	5868	8068	7729	6233	4874	4664	2288	2265	117	342	529	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4762	LTR	Copia	0	0	0	0	0	39	0	191	0	591	370	2400	1676	2703	2454	6810	3096	8708	5970	12142	22286	12616	15387	7604	5904	4724	2711	4652	5377	1627	3818	1349	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1797	DNA	DNA	0	0	75	0	680	157	591	422	7861	4841	7919	5201	6058	10725	12010	7689	6603	4113	4672	4884	3128	2528	3038	1644	1628	1326	514	139	247	188	60	40	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1066	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	0	0	1570	4902	320	149	77	0	733	994	1766	1533	1962	3083	3533	6875	9913	5826	4979	4507	2134	223	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1161	DNA	DNA	0	0	36	33	91	0	392	1874	3412	2037	1354	2553	2657	3833	6228	2879	4101	1676	4231	3467	3199	3298	2969	1082	1961	890	706	805	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-637	LTR	Gypsy	0	0	0	145	1316	590	1900	598	316	303	613	187	288	686	455	452	836	690	497	79	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1113	LTR	Gypsy	0	0	0	0	0	0	0	217	980	1225	489	244	465	1137	598	1009	48	2300	3110	2129	3210	2379	1522	1347	723	395	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-993	DNA	DNA	0	0	124	0	212	315	571	1679	5146	26382	35493	49079	31263	18040	9912	5933	3975	2833	3424	2521	2245	2326	1842	2393	801	1073	348	405	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-231	Retro	Retro	0	0	0	62	83	178	186	581	447	1342	1525	3346	5494	5258	8421	9410	12207	10379	14014	9925	12345	9715	10709	10553	9898	8727	7494	5238	5009	3092	1807	2285	1209	103	290	0	225	0	118	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4656	Unknown	Unknown	0	0	0	0	0	0	493	2746	923	1262	512	42	648	1998	2169	2327	3896	1775	3435	2367	3207	1526	2609	920	0	1082	92	914	301	298	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-18	DNA	DNA	366	111	532	783	5518	24457	44049	44916	39733	35227	32820	29270	19320	15170	12705	12429	11232	8600	5857	4158	2341	722	691	0	95	116	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-486	LTR	LTR	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	59	225	29	287	95	124	0	0	0	0	21	0	0	119	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1254	DNA	DNA	27	0	0	0	0	131	87	0	160	392	677	1043	880	498	1229	2238	1719	2988	2520	1902	2028	2998	2250	926	1850	398	581	204	238	17	176	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1900	LTR	Gypsy	0	0	0	107	0	69	102	240	118	192	515	2069	10969	39866	32108	25982	37416	63197	39189	54825	68736	93843	93581	58267	43714	25861	13970	4600	4643	1258	922	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1087	DNA	DNA	0	0	0	0	0	0	76	173	209	158	223	443	785	657	366	218	791	869	624	821	339	356	128	0	59	248	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-940	Unknown	Unknown	55	0	55	0	0	0	46	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-5714	LTR	Copia	0	0	0	0	0	94	0	401	0	1086	0	1203	279	437	64	573	1756	2189	3542	4825	13058	11615	13722	12837	11682	13165	9159	3255	1383	2069	533	293	17	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-476	LTR	LTR	0	0	0	0	0	365	542	181	172	0	176	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1470	Retro	Retro	0	0	0	0	0	0	0	38	761	646	161	986	768	3420	3647	2076	5026	5772	8853	9197	11032	9900	13975	6381	11543	6685	4705	2580	1001	1156	297	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2250	DNA	DNA	38	0	37	592	1253	1637	840	243	850	1139	1083	775	836	449	99	120	127	0	212	361	215	234	233	694	307	423	224	250	310	0	118	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1979	DNA	CMC-EnSpm	1122	5024	713	1181	488	99	264	882	264	55	205	147	269	372	278	149	752	148	0	184	219	0	187	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-584	Retro	Retro	0	0	0	0	0	0	495	560	1117	180	534	0	838	249	0	498	963	698	274	1295	1477	636	368	852	166	177	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2073	DNA	DNA	78	0	0	822	543	1338	1247	3204	2854	3910	4129	4541	5158	3281	4465	4234	3429	2327	5089	4272	2388	2721	2965	1626	1142	1329	1012	1212	871	964	381	631	144	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1138	LTR	Copia	0	0	0	0	206	0	0	0	0	785	765	7650	6594	2983	909	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1094	LINE	LINE	0	81	109	0	977	157	2858	4298	2557	2920	3015	4895	5018	4298	3384	2166	2329	1295	382	847	418	231	1066	167	861	271	370	222	171	389	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
