#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

rnd-6_family-3427	LTR	Gypsy	nd	156	156	51186	16.8337394990784	nd	3.4782512796466	nd	2.36189192357325	nd	0.000285829800834157	nd
rnd-3_family-150	Retro	Retro	nd	769	769	203098	10.6029396645976	nd	2.49647958128736	nd	1.31872371958427	nd	0.00113412770854952	nd
rnd-1_family-602	LTR	LTR	nd	222	222	34099	16.341529663627	nd	2.76456846241791	nd	2.2208217249769	nd	0.000190413597050832	nd
rnd-5_family-3199	Retro	Retro	nd	169	169	29142	20.5163279802347	nd	3.75484318166226	nd	3.20937306979574	nd	0.000162733014025495	nd
rnd-1_family-864	DNA	DNA	nd	146	146	12588	9.32402446774704	nd	0.746723863997457	nd	1.15248093422312	nd	7.02931569745705e-05	nd
rnd-5_family-3373	DNA	DNA	nd	860	860	79615	21.2908061295004	nd	5.39305294228434	nd	3.48138416127605	nd	0.000444581322889294	nd
rnd-5_family-133	DNA	hAT-Tip100	nd	420	420	51373	21.3371161894379	nd	7.61585930352631	nd	7.12644735561501	nd	0.000286874035053591	nd
rnd-5_family-1493	LTR	Copia	nd	230	230	122370	17.0274637574675	nd	2.61345060063847	nd	2.94053804036801	nd	0.000683331237605512	nd
rnd-5_family-1196	LTR	LTR	nd	127	127	24395	15.6858696454194	nd	4.5463410534943	nd	3.87995080959198	nd	0.000136225100444443	nd
rnd-5_family-829	LTR	Gypsy	nd	893	893	199204	17.9977708780947	nd	4.52413279853888	nd	4.8964567478566	nd	0.00111238306656835	nd
rnd-1_family-539	DNA	DNA	nd	461	461	206297	6.65689156895528	nd	1.34260343097491	nd	2.74608607977974	nd	0.00115199137308412	nd
rnd-5_family-81	LINE	L1	nd	103	103	57272	28.6976323508809	nd	3.86156324207436	nd	4.44312299203672	nd	0.000319814878157579	nd
rnd-5_family-831	SINE	SINE	nd	146	146	20385	12.3832852587686	nd	0.83372675987243	nd	0.766310522443047	nd	0.00011383269819881	nd
rnd-1_family-674	Retro	Retro	nd	81	81	6595	15.3805473843819	nd	2.81281880212269	nd	2.64110538286589	nd	3.68274046907604e-05	nd
rnd-1_family-401	DNA	DNA	nd	1033	1033	118759	13.6592499936881	nd	2.05010247644378	nd	2.84738840845743	nd	0.000663166907304021	nd
rnd-1_family-253	Unknown	Unknown	nd	82	82	20832	5.95689948156652	nd	1.06244287634415	nd	2.51206221198165	nd	0.000116328808873074	nd
rnd-1_family-302	LTR	LTR	nd	80	80	17535	12.6558408896484	nd	2.20345993726832	nd	2.25788309096075	nd	9.79178985977989e-05	nd
rnd-1_family-59	LTR	LTR	nd	171	171	27627	12.6748496036471	nd	5.81125058819338	nd	3.36987403626947	nd	0.00015427304160601	nd
rnd-1_family-831	DNA	DNA	nd	260	260	14898	13.8785273191034	nd	0.993601154517404	nd	0.826848570277897	nd	8.31925208617057e-05	nd
rnd-5_family-4419	DNA	PIF-Harbinger	nd	996	996	243141	14.9534908962251	nd	3.43090297399468	nd	3.82233086974055	nd	0.00135773343501383	nd
rnd-1_family-724	LTR	Copia	nd	13	13	2028	20.9290532544384	nd	3.78584319526631	nd	5.36718934911245	nd	1.13246363476667e-05	nd
rnd-5_family-907	LTR	LTR	nd	264	264	20301	18.7859465050982	nd	0.70167430175856	nd	1.21759322200884	nd	0.000113363630421096	nd
rnd-1_family-1128	Unknown	Unknown	nd	229	229	24844	12.0213335211724	nd	4.40280792142933	nd	1.45078731283213	nd	0.000138732379399128	nd
rnd-1_family-107	DNA	TcMar-Stowaway	nd	2266	2266	496153	8.86955729381719	nd	1.1533937918359	nd	0.671225952479014	nd	0.00277058791804926	nd
rnd-5_family-5447	LINE	L1	nd	339	339	55405	22.9790381734487	nd	3.7969979243758	nd	4.06556808952358	nd	0.000309389288383864	nd
rnd-1_family-148	DNA	DNA	nd	140	140	10236	17.1014488081287	nd	2.45330304806575	nd	2.98571512309488	nd	5.71592591985783e-05	nd
rnd-6_family-639	DNA	DNA	nd	139	139	21197	17.5497910081623	nd	3.54700051894137	nd	3.20029909892906	nd	0.000118367020050045	nd
rnd-6_family-2320	DNA	hAT-Ac	nd	252	252	51658	8.30183882457724	nd	5.53524894498345	nd	4.05821750745209	nd	0.000288465515013692	nd
rnd-6_family-1173	LTR	Gypsy	nd	343	343	50325	17.7189794336785	nd	4.92241390958855	nd	3.20802861400866	nd	0.000281021856112588	nd
rnd-5_family-200	DNA	DNA	nd	162	162	27628	16.6548208339371	nd	4.26039090777464	nd	2.56914145070205	nd	0.000154278625746221	nd
rnd-6_family-616	Retro	Retro	nd	759	759	74816	19.4934165151824	nd	3.44119479790443	nd	2.60839245615917	nd	0.000417783034017275	nd
rnd-1_family-1063	LTR	LTR	nd	157	157	48608	9.7643708854522	nd	2.19350785878898	nd	0.693976094470152	nd	0.000271433887370505	nd
rnd-1_family-528	LTR	Gypsy	nd	261	261	81964	16.7065111512432	nd	2.68051547020693	nd	3.42441242496781	nd	0.000457698468244653	nd
rnd-5_family-2870	DNA	DNA	nd	88	88	29386	9.79623868508867	nd	3.33843905260962	nd	3.68023820867063	nd	0.00016409554423695	nd
rnd-1_family-374	LTR	Gypsy	nd	119	119	17885	24.8990360637392	nd	1.48614872798435	nd	1.0850847078557	nd	9.98723476716073e-05	nd
rnd-1_family-24	DNA	DNA	nd	492	492	89974	10.5846203347623	nd	2.9097514837617	nd	4.03188865672328	nd	0.00050242743133381	nd
rnd-5_family-946	DNA	DNA	nd	119	119	24730	15.3544431864132	nd	4.63748362312962	nd	4.41730044480435	nd	0.000138095787415088	nd
rnd-1_family-182	DNA	hAT-Ac	nd	130	130	18516	15.1680967811619	nd	9.45218729747265	nd	5.19754806653718	nd	0.000103395940144673	nd
rnd-5_family-3264	DNA	DNA	nd	214	214	68151	14.0783190268642	nd	5.28228874117723	nd	7.88434403016841	nd	0.000380564739511753	nd
rnd-1_family-344	DNA	DNA	nd	432	432	55820	19.9206694733059	nd	3.15554783231838	nd	2.94846864922977	nd	0.000311706706571379	nd
rnd-1_family-568	DNA	DNA	nd	404	404	21002	13.5917431673175	nd	2.50500523759649	nd	1.9900299971432	nd	0.000117278112708923	nd
rnd-1_family-976	LTR	Gypsy	nd	166	166	72020	16.8074573729554	nd	1.72367481255203	nd	1.54172563176876	nd	0.000402169777987652	nd
rnd-1_family-806	DNA	DNA	nd	620	620	52518	18.9779525115204	nd	4.87496515480407	nd	8.69283026771721	nd	0.00029326787559505	nd
rnd-1_family-276	LTR	LTR	nd	10	10	2608	11.2551763803681	nd	2.53219325153388	nd	1.67504217791411	nd	1.45634376699777e-05	nd
rnd-1_family-634	DNA	hAT-Ac	nd	204	204	20943	10.2465802416083	nd	7.53133266485176	nd	3.8184300243522	nd	0.000116948648436482	nd
rnd-1_family-1119	DNA	DNA	nd	12	12	1745	8.61510601719204	nd	2.80400000000001	nd	1.70337535816618	nd	9.74432466798741e-06	nd
rnd-6_family-1105	Retro	Retro	nd	224	224	29429	18.2273046994457	nd	4.88281592986487	nd	7.07802711611024	nd	0.000164335662266018	nd
rnd-1_family-479	DNA	DNA	nd	53	53	4232	16.0882230623816	nd	1.38212665406422	nd	1.32982041587904	nd	2.36320813724485e-05	nd
rnd-1_family-450	DNA	DNA	nd	177	177	12572	17.344695354757	nd	4.44630687241477	nd	6.71118994591171	nd	7.02038107311964e-05	nd
rnd-6_family-519	LINE	LINE	nd	77	77	19248	7.25562811720833	nd	2.901570552785	nd	1.53952306733159	nd	0.000107483530779038	nd
rnd-5_family-1103	LTR	Copia	nd	98	98	54585	22.2449352386163	nd	3.34942053677737	nd	2.69534817257541	nd	0.000304810293410941	nd
rnd-1_family-855	Retro	Retro	nd	1	1	134	23.8499999999999	nd	3.73000000000001	nd	6.11000000000001	nd	7.48274788258059e-07	nd
rnd-5_family-3837	Retro	Retro	nd	149	149	28926	14.6716196501424	nd	2.46284069695123	nd	6.84444617299352	nd	0.000161526839739945	nd
rnd-1_family-700	LTR	Copia	nd	160	160	70996	24.489983942762	nd	2.54740858639848	nd	3.78947208293242	nd	0.00039645161841171	nd
rnd-6_family-726	LTR	LTR	nd	75	75	13160	18.9737864741653	nd	4.60355091185423	nd	3.78768693009098	nd	7.34872851751944e-05	nd
rnd-6_family-1314	DNA	DNA	nd	93	93	30453	9.80824319443246	nd	4.45236988145734	nd	2.84217318490802	nd	0.00017005382184196	nd
rnd-6_family-6724	DNA	DNA	nd	113	113	10761	11.8505157513241	nd	4.23498745469732	nd	1.66825666759593	nd	6.00909328092908e-05	nd
rnd-1_family-191	DNA	DNA	nd	423	423	44312	14.4022375428792	nd	3.57707235060489	nd	1.20056621231259	nd	0.00024744442102456	nd
rnd-1_family-874	LTR	LTR	nd	570	570	29206	12.4371334657271	nd	1.20395363966321	nd	1.40565226323374	nd	0.000163090398998991	nd
rnd-5_family-2400	DNA	DNA	nd	1048	1048	109558	21.3323142992761	nd	3.1778853210173	nd	4.68646762445428	nd	0.000611787233223704	nd
rnd-1_family-487	LINE	L1	nd	1030	1030	268484	13.1365915659803	nd	1.49561519494746	nd	2.10749836117052	nd	0.00149925230037818	nd
rnd-1_family-544	DNA	hAT-Ac	nd	175	175	25144	20.4735738148268	nd	2.38785197263729	nd	3.61885618835532	nd	0.000140407621462393	nd
rnd-1_family-40	DNA	DNA	nd	198	198	120762	14.6243012702656	nd	5.51814792732879	nd	5.36090699060577	nd	0.000674351940146415	nd
rnd-5_family-1727	LTR	LTR	nd	278	278	54676	18.3061897358997	nd	5.91448130806948	nd	4.75222455922214	nd	0.000305318450170131	nd
rnd-1_family-726	LTR	Gypsy	nd	145	145	32603	13.0086105573112	nd	1.97994325675559	nd	2.94380210410081	nd	0.000182059723295354	nd
rnd-1_family-45	DNA	DNA	nd	2823	2823	370035	16.8518623913935	nd	3.80294161363143	nd	1.77323028902672	nd	0.00206632732293336	nd
rnd-1_family-169	DNA	DNA	nd	103	103	8696	16.6544468721251	nd	3.50397539098436	nd	2.61793353265871	nd	4.85596832738215e-05	nd
rnd-5_family-4723	LTR	LTR	nd	199	199	41682	19.5234746413309	nd	4.13973921596857	nd	4.80533179789818	nd	0.000232758132269943	nd
rnd-4_family-377	LTR	LTR	nd	602	602	79564	22.6433579256941	nd	4.94833366849394	nd	6.26046654265634	nd	0.000444296531738539	nd
rnd-5_family-1984	LINE	L1	nd	115	115	32205	24.7385269368106	nd	2.74858344977458	nd	3.88144077006749	nd	0.000179837235491424	nd
rnd-1_family-740	DNA	DNA	nd	206	206	13497	14.6578484107582	nd	1.57209750314878	nd	1.93104097206773	nd	7.53691404262613e-05	nd
rnd-6_family-2186	LTR	Cassandra	nd	72	72	10066	15.0763381680911	nd	2.15734055235448	nd	1.09315418239612	nd	5.62099553627285e-05	nd
rnd-1_family-531	DNA	DNA	nd	1	1	14	12.5	nd	0	nd	1.04	nd	7.81779629523345e-08	nd
rnd-3_family-49	LINE	L1	nd	1414	1414	263220	20.8899215485152	nd	6.21651458855938	nd	4.89833542283977	nd	0.00146985738630811	nd
rnd-5_family-9185	DNA	DNA	nd	247	247	25961	7.45416586418067	nd	1.77334809907166	nd	1.32444166249381	nd	0.000144969864014683	nd
rnd-6_family-2589	Retro	Retro	nd	1307	1307	113422	17.1453626280619	nd	9.84287624975929	nd	3.67131491245062	nd	0.000633364350998549	nd
rnd-1_family-300	LTR	Gypsy	nd	229	229	99001	22.9922358359986	nd	6.73017262452264	nd	3.25257229724795	nd	0.000552835465017433	nd
rnd-5_family-1050	DNA	PIF-Harbinger	nd	379	379	134097	11.3422668665218	nd	4.14046980916673	nd	3.11932213248683	nd	0.000748816449858514	nd
rnd-5_family-4850	LTR	LTR	nd	103	103	52493	5.76004876840751	nd	1.12866096431892	nd	0.964549558988732	nd	0.000293128272089778	nd
rnd-1_family-1030	LTR	Copia	nd	224	224	30545	12.3491550171875	nd	2.62560942871145	nd	2.73128793583225	nd	0.000170567562741361	nd
rnd-1_family-583	DNA	hAT-Ac	nd	276	276	49147	10.8158038130495	nd	5.26486316560496	nd	1.41880887948389	nd	0.00027444373894417	nd
rnd-1_family-786	LTR	LTR	nd	187	187	54712	10.0615190451813	nd	3.19570130867025	nd	3.33513342593911	nd	0.000305519479217723	nd
rnd-1_family-992	LTR	LTR	nd	13	13	927	19.006612729234	nd	1.06536138079828	nd	1.58440129449838	nd	5.17649797548672e-06	nd
rnd-5_family-1627	DNA	DNA	nd	352	352	78519	17.2689017944679	nd	3.9301765177857	nd	5.76261885658225	nd	0.000438461105218168	nd
rnd-5_family-834	LINE	L1	nd	212	212	119356	26.5825427293204	nd	3.09086195918111	nd	3.99359546231299	nd	0.000666500639009917	nd
rnd-5_family-2349	DNA	DNA	nd	151	151	28267	13.9867170198458	nd	3.13054232851055	nd	3.35363957972237	nd	0.000157846891340974	nd
rnd-1_family-102	DNA	DNA	nd	701	701	214148	6.49407297756643	nd	1.30752134038213	nd	0.499210219100529	nd	0.00119583245787975	nd
rnd-1_family-502	LTR	Gypsy	nd	60	60	21531	18.6021736101454	nd	1.0963578096697	nd	0.984913845153536	nd	0.00012023212288048	nd
rnd-1_family-1123	LINE	LINE	nd	104	104	38451	15.1132865205037	nd	4.46010168786221	nd	1.78170216639363	nd	0.000214715775248587	nd
rnd-1_family-476	LTR	LTR	nd	10	10	1623	7.85694393099225	nd	2.6498644485521	nd	2.49471965495997	nd	9.06305956225992e-06	nd
rnd-6_family-1200	LINE	LINE	nd	100	100	24219	18.5324761550869	nd	1.78604195053493	nd	2.69275155869387	nd	0.000135242291767328	nd
rnd-1_family-988	DNA	DNA	nd	172	172	8466	14.6477391920625	nd	1.31624025513816	nd	0.846771793054568	nd	4.72753310253188e-05	nd
rnd-1_family-319	LTR	Copia	nd	534	534	320783	22.2144861479561	nd	2.80678221726223	nd	2.37147149319188	nd	0.00179129724926705	nd
rnd-1_family-51	Retro	Retro	nd	777	777	97594	19.3555629444484	nd	4.72766112670836	nd	4.70460888988967	nd	0.000544978579740724	nd
rnd-1_family-423	LINE	LINE	nd	417	417	76256	11.83384153378	nd	2.66060729647491	nd	3.6094522398232	nd	0.000425824195920944	nd
rnd-6_family-3518	DNA	DNA	nd	759	759	208456	12.7743651897738	nd	2.47205299919525	nd	1.21967139348294	nd	0.00116404753179942	nd
rnd-1_family-310	Retro	Retro	nd	571	571	106633	11.7907767764185	nd	3.21071553834178	nd	2.09416812806513	nd	0.000595453623106877	nd
rnd-1_family-788	DNA	DNA	nd	222	222	14697	15.3301694223309	nd	1.95097162686256	nd	2.85914608423493	nd	8.20701086793186e-05	nd
rnd-1_family-795	nonLTR	nonLTR	nd	46	46	3215	17.7521990668735	nd	1.71779782270602	nd	2.07021461897351	nd	1.79530107779825e-05	nd
rnd-1_family-561	DNA	DNA	nd	894	894	92261	10.4462804435236	nd	2.18556443134139	nd	3.30269908195197	nd	0.000515198359996095	nd
rnd-1_family-291	DNA	DNA	nd	37	37	3005	9.63550748752059	nd	9.56845590682139	nd	1.55388352745416	nd	1.67803413336975e-05	nd
rnd-1_family-447	DNA	DNA	nd	1	1	33	6.06	nd	0	nd	0	nd	1.84276626959074e-07	nd
rnd-3_family-22	RC	Helitron	nd	834	834	140030	19.1502240948329	nd	8.0562507319865	nd	7.05373705634488	nd	0.000781947153729671	nd
rnd-5_family-4273	DNA	DNA	nd	559	559	115096	13.2623360499058	nd	5.59827509209739	nd	3.18993544519398	nd	0.000642712201711564	nd
rnd-1_family-909	SINE	SINE	nd	150	150	17828	18.7054375140228	nd	4.5011358537131	nd	4.7901755665244	nd	9.95540516795871e-05	nd
rnd-1_family-785	SINE?	SINE?	nd	98	98	11279	8.39046192038303	nd	2.10211188935198	nd	2.15930224310667	nd	6.29835174385272e-05	nd
rnd-5_family-2452	LINE	LINE	nd	221	221	31554	20.1445708943416	nd	5.63765006021383	nd	6.96703492425675	nd	0.00017620196021414	nd
rnd-5_family-4229	Retro	Retro	nd	182	182	15818	18.8461335187756	nd	5.42260715640403	nd	7.26237514224338	nd	8.83299298557162e-05	nd
rnd-1_family-754	LTR	Gypsy	nd	5	5	337	14.8129376854599	nd	1.26551928783383	nd	5.25391691394657	nd	1.88185525106691e-06	nd
rnd-1_family-582	LTR	LTR	nd	116	116	33762	26.1681470292035	nd	6.40499170665327	nd	5.08213198270218	nd	0.000188531741799765	nd
rnd-6_family-4636	DNA	DNA	nd	533	533	89755	19.0697201270126	nd	5.77473165840324	nd	2.77697754999751	nd	0.000501204504627627	nd
rnd-1_family-688	LTR	LTR	nd	137	137	26259	21.3622224761031	nd	4.03059446285106	nd	3.1603461670287	nd	0.000146633937797525	nd
rnd-5_family-1264	DNA	DNA	nd	457	457	68240	18.3297790152397	nd	3.87423388042249	nd	6.58841822977691	nd	0.000381061727990522	nd
rnd-1_family-540	LTR	LTR	nd	26	26	3016	19.8965019893901	nd	5.99307029177712	nd	9.17232095490715	nd	1.68417668760172e-05	nd
rnd-5_family-8862	DNA	DNA	nd	579	579	68205	17.1214424162456	nd	4.11803386848553	nd	7.46945048016964	nd	0.000380866283083141	nd
rnd-1_family-570	LTR	Copia	nd	28	28	8610	15.9091951219507	nd	4.22119628339144	nd	2.16436469221828	nd	4.80794472156857e-05	nd
rnd-1_family-571	LINE	LINE	nd	1095	1095	187693	14.4557144379405	nd	3.2216840798544	nd	2.33340156532249	nd	0.00104810402860089	nd
rnd-5_family-2554	DNA	PIF-Harbinger	nd	214	214	27298	20.1776518426243	nd	3.63291193494026	nd	4.00167228368409	nd	0.00015243585947663	nd
rnd-1_family-1014	RC	Helitron	nd	188	188	52438	14.0287392730473	nd	2.85570693008885	nd	2.70921335672668	nd	0.00029282114437818	nd
rnd-1_family-270	LTR	Gypsy	nd	720	720	209414	19.2909209508472	nd	5.27758373365399	nd	2.82096918066805	nd	0.00116939713812144	nd
rnd-6_family-1741	DNA	DNA	nd	248	248	127875	14.0486421896416	nd	1.99420136852385	nd	1.56802830889537	nd	0.000714071929466412	nd
rnd-1_family-36	Retro	Retro	nd	192	192	57180	10.3929275970603	nd	4.26237670514209	nd	3.18314935292059	nd	0.000319301137258178	nd
rnd-4_family-1601	Retro	Retro	nd	1389	1389	161897	13.8006104498512	nd	6.765132831368	nd	2.76931339061237	nd	0.000904055547721007	nd
rnd-1_family-146	LTR	Gypsy	nd	315	315	119211	12.8171233359343	nd	2.99678603484455	nd	1.69458263079833	nd	0.000665690938679339	nd
rnd-1_family-609	LTR	LTR	nd	638	638	180185	12.8974722646169	nd	4.6451616394271	nd	2.74602153342394	nd	0.0010061783038976	nd
rnd-4_family-87	LINE	LINE	nd	1149	1149	197532	18.6010498045879	nd	5.68120147621583	nd	4.04252895733306	nd	0.00110304638413575	nd
rnd-4_family-664	LINE	L1	nd	655	655	284666	27.3785850786554	nd	4.05509579647885	nd	2.5182911552493	nd	0.00158961485727066	nd
rnd-4_family-643	DNA	DNA	nd	284	284	28825	14.3176572419761	nd	1.7270397224631	nd	2.83146955767556	nd	0.000160962841578646	nd
rnd-1_family-1091	LTR	Gypsy	nd	60	60	15452	21.8419181982927	nd	7.31657778928243	nd	3.95035594097879	nd	8.62861345385337e-05	nd
rnd-6_family-455	DNA	DNA	nd	103	103	20335	24.9560299975405	nd	5.39293484140658	nd	8.10211654782431	nd	0.000113553491188266	nd
rnd-1_family-590	DNA	DNA	nd	5	5	311	17.1322829581994	nd	1.82363344051447	nd	3.57163987138263	nd	1.736667605584e-06	nd
rnd-1_family-183	nonLTR	nonLTR	nd	91	91	6026	12.3428841686032	nd	5.26900763358785	nd	2.87321938267507	nd	3.36500289107691e-05	nd
rnd-4_family-467	DNA	DNA	nd	406	406	79260	20.0511950542518	nd	3.38101413070852	nd	5.48463171839555	nd	0.000442598953114431	nd
rnd-4_family-472	LTR	LTR	nd	212	212	63245	12.2398616491392	nd	6.07641078345931	nd	5.5985679500358	nd	0.000353168947637171	nd
rnd-1_family-417	LTR	Gypsy	nd	660	660	479695	22.5045834749033	nd	1.8598024995057	nd	1.37321614775989	nd	0.00267868413845858	nd
rnd-6_family-162	LINE	LINE	nd	75	75	14535	6.09459167526656	nd	0.192926040591675	nd	1.10297832817334	nd	8.11654779651558e-05	nd
rnd-1_family-993	LTR	LTR	nd	153	153	14640	14.563806693989	nd	1.03735519125681	nd	0.879955601092922	nd	8.17518126872983e-05	nd
rnd-6_family-287	DNA	DNA	nd	166	166	29054	20.4690283609824	nd	4.09682866386747	nd	7.7138672816133	nd	0.000162241609686938	nd
rnd-1_family-958	Unknown	Unknown	nd	34	34	2658	14.9300639578632	nd	4.19875846501134	nd	3.28681339352904	nd	1.48426446805218e-05	nd
rnd-5_family-1206	DNA	DNA	nd	122	122	19813	6.01866905567047	nd	3.37829404936156	nd	1.44137838792717	nd	0.000110638569998186	nd
rnd-1_family-105	DNA	DNA	nd	400	400	38248	14.0871998535863	nd	3.27393641497605	nd	2.00062774524157	nd	0.000213582194785778	nd
rnd-4_family-289	LINE	L1	nd	601	601	177036	24.073339264326	nd	4.50948558485345	nd	6.13534235974579	nd	0.000988593846373535	nd
rnd-6_family-321	DNA	DNA	nd	100	100	29655	10.2303678974895	nd	3.87373124262437	nd	7.0651080762084	nd	0.000165597677953677	nd
rnd-1_family-743	LINE	LINE	nd	48	48	8569	18.2327331077133	nd	6.12403664371558	nd	2.5005484887384	nd	4.78504974670396e-05	nd
rnd-5_family-2956	LINE	L1	nd	130	130	99007	26.9293143919096	nd	4.26709202379685	nd	4.57248255173882	nd	0.000552868969858699	nd
rnd-1_family-411	LINE	LINE	nd	12	12	2246	25.1702359750665	nd	2.78883793410503	nd	2.15299198575245	nd	1.25419789136388e-05	nd
rnd-5_family-5801	DNA	hAT-Ac	nd	326	326	68482	14.8610177856959	nd	3.96236485499849	nd	2.00202345141828	nd	0.000382413089921555	nd
rnd-1_family-911	DNA	DNA	nd	199	199	26479	17.5535779296807	nd	2.67974319271874	nd	1.9518592091847	nd	0.000147862448643919	nd
rnd-1_family-843	LTR	LTR	nd	25	25	3384	17.5226802600474	nd	2.31963356973984	nd	13.9288150118203	nd	1.88967304736214e-05	nd
rnd-5_family-2343	Unknown	Unknown	nd	433	433	54215	15.4874770819885	nd	2.88040597620628	nd	4.05976832979779	nd	0.000302744161532915	nd
rnd-5_family-1709	LINE	LINE	nd	69	69	21822	23.4246659334628	nd	3.10126615342284	nd	4.10577261479294	nd	0.000121857107681846	nd
rnd-1_family-60	DNA	DNA	nd	761	761	315445	9.37870849117792	nd	1.33706329154065	nd	0.945804022889128	nd	0.00176148910882137	nd
rnd-1_family-137	LTR	LTR	nd	129	129	45060	13.7471413670635	nd	2.87916622281377	nd	3.56224656014223	nd	0.000251621357902299	nd
rnd-1_family-1169	DNA	DNA	nd	4	4	163	12.6388343558282	nd	0.61398773006135	nd	2.65325153374233	nd	9.10214854373609e-07	nd
rnd-6_family-7018	LTR	LTR	nd	74	74	13845	16.159745756592	nd	1.2197081979054	nd	4.40799205489335	nd	7.73124212196479e-05	nd
rnd-1_family-317	LTR	Gypsy	nd	271	271	184141	13.2676866640191	nd	2.95931867427719	nd	2.33921494941573	nd	0.00102826916257184	nd
rnd-5_family-3808	Retro	Retro	nd	111	111	13670	8.2665786393563	nd	2.52754279444038	nd	1.50428383321121	nd	7.63351966827437e-05	nd
rnd-1_family-166	DNA	hAT-Ac	nd	1208	1208	303979	7.31780349957982	nd	3.47313195977589	nd	1.43370446642824	nd	0.00169746135716341	nd
rnd-6_family-562	LINE	L1	nd	639	639	461238	27.5233917413553	nd	2.84598424240806	nd	2.80991767807293	nd	0.00257561766258635	nd
rnd-5_family-231	Retro	Retro	nd	1641	1641	171675	20.4161128294735	nd	3.80758275811868	nd	4.43739577690396	nd	0.000958657270703002	nd
