		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
DNA	hAT-Tip100	53	160	457	504	2046	4792	20074	15822	12532	6879	9693	8453	9444	13821	14788	17370	18378	18720	19728	14317	13113	12948	13059	12061	9405	10064	6381	2442	2290	391	1418	3026	653	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA	2514	24410	71185	76028	60648	34044	28365	14730	20659	10480	12728	11810	8223	8520	10142	13334	13208	16773	14817	14357	17064	16102	18244	17068	10499	10053	4352	3096	2243	1591	469	844	487	0	355	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	PIF-Harbinger	5463	16327	52850	141748	100786	73630	98932	98577	115070	100618	99184	109661	121929	104531	98206	105192	98570	88070	95390	83689	87435	79245	79598	77492	62296	52961	45090	42064	36068	18513	16347	8394	4354	1439	2431	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Pao	90	311	105	1862	3541	23000	34606	17679	6417	5264	3298	2833	5845	7354	5186	4780	8077	9753	8379	8394	11217	8125	7635	11028	6501	4405	6609	5730	3692	1638	491	520	554	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Charlie	0	0	0	238	1588	4813	5681	3544	1972	1395	9534	8047	3298	3617	11152	5446	7520	3310	4413	2402	2560	3852	2718	1806	1170	1728	1432	442	514	170	171	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	R1-LOA	0	229	0	1835	3553	3705	1664	2096	1620	619	1212	1704	2483	2345	1291	409	622	1754	836	908	54	154	593	199	0	179	133	0	137	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Stowaway	424	4644	40257	97804	159991	189508	200296	215320	207808	202456	199629	230460	256747	290731	316270	353291	358869	371494	355982	324227	312529	276642	241122	199255	162781	117805	79265	51165	30195	16182	8515	5503	1986	563	196	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-RTE	903	3362	7523	7529	12598	15561	18703	25660	23891	19407	20089	22106	20677	31714	25794	33620	36682	40533	37929	36502	38798	36299	34006	31871	26851	23927	20124	15137	12368	8122	6187	4656	2321	1173	407	245	222	0	118	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia	6153	37191	132378	472502	546181	599521	896612	822040	881048	726081	635872	602440	476542	429985	423273	367068	364495	450934	372811	454174	484502	491626	476832	529468	498217	470259	463557	412733	345982	285370	224359	176917	99899	41965	32766	12612	3541	1089	732	0	0	0	0	0	0	0	0	0	0	0
LTR	Caulimovirus	604	17447	42138	16830	38599	14520	9272	20231	8193	7840	693	4233	2485	603	5859	5569	11928	3026	5564	3080	1518	4536	3285	6496	5193	3834	1006	361	2588	6071	4015	1980	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L2	0	3203	6845	11091	2340	1115	1427	1345	2368	247	0	372	124	45	143	44	541	1329	685	1507	1260	821	1841	760	1933	924	833	301	501	91	194	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonLTR	nonLTR	207	904	2432	10965	22999	44961	51039	50418	51106	38148	30101	30699	30439	30020	29710	23708	30502	19562	21381	17990	13673	13088	10971	10164	12733	9782	5526	4103	2304	1671	1032	735	156	110	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT	0	0	35	236	208	204	1605	1217	2398	4514	4386	5533	5261	5526	10285	9375	14536	15361	20773	21451	22798	23604	18871	16821	16109	13619	11721	8765	6625	2834	1683	1209	498	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy	8225	42782	314817	806158	953441	979746	1234609	1518619	1717744	1888060	1785523	1770979	1815504	1942891	1757781	1342854	1559865	1491700	1131898	1003781	949363	975746	982684	918066	835818	686998	476889	416865	386121	329980	244790	171178	99008	58361	28531	15475	8890	2779	451	1105	81	115	0	0	0	0	0	0	0	0
LTR	LTR	20406	83281	211570	366099	496425	793068	1128474	1249666	1322139	1410152	1467322	1399732	1303540	1263698	1272359	1333870	1362736	1207116	1157228	1062902	1073936	1009886	942158	806614	658579	538019	379499	286947	209976	170844	115872	101461	62831	50565	19334	9515	3355	527	716	109	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Ac	3063	34881	150026	188488	263425	271553	244531	240142	244169	254579	277027	268504	283260	290276	299482	333362	335297	351930	349443	318540	322971	299446	268314	252111	223107	186059	149809	115665	107490	61888	46236	27706	18191	11657	5753	2025	1667	504	51	0	0	0	0	0	0	0	0	0	0	0
LINE	R2-NeSL	113	54	0	104	268	41	267	544	1682	3277	7646	11267	15117	19736	20342	18669	21673	18386	15641	10961	6788	4118	4152	4070	2358	2315	1419	786	499	359	348	242	221	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Tag1	0	209	1655	7578	8332	5784	10550	17946	20860	32747	26840	25615	22066	17386	19334	25513	26952	28984	32825	27121	29722	25815	28610	18487	16139	16090	11249	8672	7336	4295	2052	2244	1897	653	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Cassandra	286	5361	17544	43005	72914	88482	76021	51355	41795	28617	18564	20225	18753	15445	18685	19264	14617	17057	14470	12537	13373	9461	11852	10221	10444	8907	10493	5880	6412	4805	3554	2655	4041	2056	1245	214	228	230	0	233	0	0	0	0	0	0	0	0	0	0
Unknown	Unknown	4924	33889	126482	229392	288099	379445	367282	336660	310592	301543	336469	353718	412129	369319	390675	375547	367944	346003	323029	292923	283359	238993	199196	168958	122322	96710	62796	48092	22755	18688	11681	13507	6692	3457	2572	1726	1209	828	238	0	0	0	0	0	0	0	0	0	0	0
