subelement	bin_id	source_id	source_genome	start	stop	length	avg_rank	num_genomes	S_Abortusovis_SR44	S_Agona_SL483	S_Bongori_NCTC12419	S_Choleraesuis_SCB67	S_Dublin_CT02021853	S_Enteritidis_P125109	S_Gallinarum_28791	S_Gall_Pullorum_RKS5078	S_Heidelberg_SL476	S_Newport_SL254	S_ParatyphiA_AKU12601	S_ParatyphiA_ATCC9150	S_ParatyphiB_SPB7	S_ParatyphiC_RKS4594	S_Schwarzengrund_CVM19633	S_Typhimurium_LT2	S_Typhimurium_SL1344	S_Typhimurium_ST313_AGEnt	S_Typhi_CT18	S_Typhi_Ty2
bin1_se00021	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	115048	115927	880	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00022	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	115928	116050	123	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00023	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	116051	116814	764	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00024	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	116815	116985	171	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00025	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	116986	116986	1	NA	4	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
bin1_se00026	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	116987	118340	1354	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00027	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	118341	121988	3648	NA	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
bin1_se00028	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	121989	123100	1112	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00029	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	123101	123271	171	NA	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
bin1_se00030	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	123272	123273	2	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00031	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	123274	124429	1156	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00032	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	124430	132624	8195	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00033	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	132625	132822	198	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00034	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	132823	137685	4863	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00035	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	137686	138372	687	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00036	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	138373	139053	681	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00037	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	139054	139054	1	NA	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00038	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	139055	139056	2	NA	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00039	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	139057	140385	1329	NA	5	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
bin1_se00040	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	140386	140389	4	NA	4	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
bin1_se00041	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	140390	140392	3	NA	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
bin1_se00042	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	140393	144038	3646	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00043	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	144039	145671	1633	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00044	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	145672	147138	1467	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00045	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	147139	147693	555	NA	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
bin1_se00046	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	147694	149602	1909	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00047	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	149603	149612	10	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00048	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	149613	149614	2	NA	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00049	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	149615	150382	768	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00050	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	150383	151874	1492	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00051	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	151875	151876	2	NA	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
bin1_se00052	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	151877	151898	22	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00053	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	151899	152047	149	NA	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
bin1_se00054	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	152048	153224	1177	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00055	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	153225	153290	66	NA	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00056	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	153291	153812	522	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00057	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	153813	154009	197	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00058	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	154010	155388	1379	NA	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00059	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	155389	155715	327	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00060	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	155716	156542	827	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00061	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	156543	156543	1	NA	5	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
bin1_se00062	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	156544	156723	180	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00063	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	156724	156726	3	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00064	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	156727	157553	827	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00065	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	157554	158996	1443	NA	5	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
bin1_se00066	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	158997	158997	1	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00067	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	158998	159278	281	NA	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00068	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	159279	160204	926	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00069	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	160205	160205	1	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00070	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	160206	161764	1559	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00071	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	161765	162910	1146	NA	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00072	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	162911	163623	713	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00073	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	163624	164478	855	NA	5	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00074	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	164479	165411	933	NA	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
bin1_se00075	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	165412	169764	4353	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00076	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	169765	170256	492	NA	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00077	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	170257	171415	1159	NA	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00078	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	171416	172592	1177	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00079	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	172593	172741	149	NA	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
bin1_se00080	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	172742	172763	22	NA	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
bin1_se00081	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	172764	172765	2	NA	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
bin1_se00082	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	172766	172820	55	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00083	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	172821	173589	769	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00084	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	173590	179281	5692	NA	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
bin1_se00085	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	179282	179286	5	NA	4	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
bin1_se00086	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	179287	180624	1338	NA	5	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
bin1_se00087	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	180625	180625	1	NA	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00088	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	180626	180629	4	NA	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00089	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	180630	180632	3	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00090	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	180633	180693	61	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00091	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	180694	214239	33546	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin2_se00001	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	1	245	245	NA	16	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1
bin2_se00002	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	246	292	47	NA	15	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1
bin2_se00003	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	293	314	22	NA	14	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1
bin2_se00004	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	315	1087	773	NA	18	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
bin2_se00005	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	1088	2075	988	NA	19	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin2_se00006	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	2076	3286	1211	NA	13	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1
bin2_se00007	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	3287	3291	5	NA	17	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
bin2_se00008	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	3292	4657	1366	NA	19	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin2_se00009	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	4658	4663	6	NA	18	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin2_se00010	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	4664	4825	162	NA	19	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin2_se00011	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	4826	4849	24	NA	5	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1
bin2_se00012	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	4850	4890	41	NA	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
bin2_se00013	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	4891	27425	22535	NA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
bin2_se00014	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	27426	31621	4196	NA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
bin2_se00015	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	31622	68081	36460	NA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
bin2_se00016	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	68082	68092	11	NA	9	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1
bin2_se00017	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	68093	68192	100	NA	8	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00018	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	68193	68975	783	NA	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
bin2_se00019	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	68976	69474	499	NA	5	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
bin2_se00020	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	69475	73215	3741	NA	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
bin2_se00021	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	73216	74023	808	NA	9	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00022	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	74024	75260	1237	NA	8	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00023	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75261	75518	258	NA	9	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00024	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75519	75579	61	NA	8	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00025	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75580	75722	143	NA	6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00026	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75723	75747	25	NA	10	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00027	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75748	75769	22	NA	11	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1
bin2_se00028	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75770	75795	26	NA	10	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1
bin2_se00029	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	75796	76973	1178	NA	11	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1
bin2_se00030	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	76974	76977	4	NA	12	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1
bin2_se00031	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	76978	77030	53	NA	15	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1
bin2_se00032	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	77031	77084	54	NA	12	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1
bin2_se00033	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	77085	77139	55	NA	10	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1
bin2_se00034	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	77140	78163	1024	NA	7	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1
bin2_se00035	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	78164	78171	8	NA	8	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1
bin2_se00036	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	78172	78177	6	NA	9	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1
bin2_se00037	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	78178	78191	14	NA	8	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1
bin2_se00038	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	78192	78408	217	NA	7	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00039	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	78409	78439	31	NA	8	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00040	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	78440	81369	2930	NA	9	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00041	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	81370	81429	60	NA	8	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
bin2_se00042	bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	81430	81431	2	NA	7	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1
