bin_id	source_id	source_genome	source_length	bin_start	bin_stop	bin_length
bin85	S_Bongori_NCTC12419_accessory_0192_length_13031	S_Bongori_NCTC12419	13031	1	11846	11846
bin86	S_Abortusovis_SR44_AGEnt_accessory_0466_length_11536	S_Abortusovis_SR44	11536	1	11536	11536
bin87	S_Bongori_NCTC12419_accessory_0067_length_11526	S_Bongori_NCTC12419	11526	1	11526	11526
bin88	S_Schwarzengrund_CVM19633_accessory_0516_length_15248	S_Schwarzengrund_CVM19633	15248	2055	13573	11519
bin89	S_Newport_SL254_accessory_0246_length_20921	S_Newport_SL254	20921	1588	12865	11278
bin90	S_Bongori_NCTC12419_accessory_0201_length_18153	S_Bongori_NCTC12419	18153	6927	18153	11227
bin91	S_Bongori_NCTC12419_accessory_0246_length_16827	S_Bongori_NCTC12419	16827	5733	16827	11095
bin92	S_Bongori_NCTC12419_accessory_0271_length_22021	S_Bongori_NCTC12419	22021	10955	22021	11067
bin93	S_Abortusovis_SR44_AGEnt_accessory_0425_length_10843	S_Abortusovis_SR44	10843	1	10843	10843
bin94	S_Bongori_NCTC12419_accessory_0286_length_10798	S_Bongori_NCTC12419	10798	1	10798	10798
bin95	S_Typhimurium_SL1344_accessory_0297_length_51138	S_Typhimurium_SL1344	51138	19579	30331	10753
bin96	S_Bongori_NCTC12419_accessory_0345_length_15377	S_Bongori_NCTC12419	15377	2715	13449	10735
bin97	S_Heidelberg_SL476_accessory_0518_length_66766	S_Heidelberg_SL476	66766	56127	66766	10640
bin98	S_Bongori_NCTC12419_accessory_0242_length_13423	S_Bongori_NCTC12419	13423	2810	13423	10614
bin99	S_Heidelberg_SL476_accessory_0018_length_10559	S_Heidelberg_SL476	10559	1	10559	10559
bin100	S_Typhimurium_ST313_AGEnt_accessory_0168_length_14194	S_Typhimurium_ST313_AGEnt	14194	1	10412	10412
bin101	S_Agona_SL483_accessory_0431_length_10286	S_Agona_SL483	10286	1	10286	10286
bin102	S_Typhi_Ty2_accessory_0530_length_34236	S_Typhi_Ty2	34236	22670	32920	10251
bin103	S_Bongori_NCTC12419_accessory_0271_length_22021	S_Bongori_NCTC12419	22021	1	10239	10239
bin104	S_Heidelberg_SL476_accessory_0331_length_10124	S_Heidelberg_SL476	10124	1	10124	10124
bin105	S_Choleraesuis_SCB67_accessory_0002_length_138742	S_Choleraesuis_SCB67	138742	124008	134048	10041
bin106	S_ParatyphiB_SPB7_accessory_0020_length_9796	S_ParatyphiB_SPB7	9796	1	9796	9796
bin107	S_Agona_SL483_accessory_0523_length_10776	S_Agona_SL483	10776	844	10614	9771
bin108	S_Heidelberg_SL476_accessory_0444_length_9652	S_Heidelberg_SL476	9652	1	9652	9652
bin109	S_Typhi_Ty2_accessory_0392_length_33648	S_Typhi_Ty2	33648	1	9550	9550
bin110	S_Typhi_CT18_accessory_0424_length_9543	S_Typhi_CT18	9543	1	9543	9543
bin111	S_Newport_SL254_accessory_0202_length_10959	S_Newport_SL254	10959	1	9535	9535
bin112	S_Typhimurium_LT2_accessory_0328_length_16280	S_Typhimurium_LT2	16280	865	10347	9483
bin113	S_Newport_SL254_accessory_0537_length_11784	S_Newport_SL254	11784	2310	11784	9475
bin114	S_ParatyphiB_SPB7_accessory_0268_length_9410	S_ParatyphiB_SPB7	9410	1	9410	9410
bin115	S_Bongori_NCTC12419_accessory_0156_length_9372	S_Bongori_NCTC12419	9372	1	9372	9372
bin116	S_Heidelberg_SL476_accessory_0545_length_11412	S_Heidelberg_SL476	11412	1297	10595	9299
bin117	S_Choleraesuis_SCB67_accessory_0002_length_138742	S_Choleraesuis_SCB67	138742	58402	67643	9242
bin118	S_ParatyphiA_AKU12601_accessory_0467_length_9188	S_ParatyphiA_AKU12601	9188	1	9188	9188
bin119	S_Newport_SL254_accessory_0070_length_9184	S_Newport_SL254	9184	1	9184	9184
bin120	S_Schwarzengrund_CVM19633_accessory_0421_length_9110	S_Schwarzengrund_CVM19633	9110	1	9110	9110
bin121	S_Bongori_NCTC12419_accessory_0409_length_9103	S_Bongori_NCTC12419	9103	1	9103	9103
bin122	S_Bongori_NCTC12419_accessory_0247_length_8904	S_Bongori_NCTC12419	8904	1	8904	8904
bin123	S_Typhi_CT18_accessory_0338_length_21632	S_Typhi_CT18	21632	12849	21632	8784
bin124	S_ParatyphiB_SPB7_accessory_0081_length_42502	S_ParatyphiB_SPB7	42502	16808	25533	8726
bin125	S_Abortusovis_SR44_AGEnt_accessory_0345_length_8713	S_Abortusovis_SR44	8713	1	8713	8713
bin126	S_Choleraesuis_SCB67_accessory_0388_length_8690	S_Choleraesuis_SCB67	8690	1	8690	8690
bin127	S_Dublin_CT02021853_accessory_0099_length_8659	S_Dublin_CT02021853	8659	1	8659	8659
bin128	S_Typhimurium_LT2_accessory_0105_length_42710	S_Typhimurium_LT2	42710	26129	34682	8554
bin129	S_Newport_SL254_accessory_0270_length_8493	S_Newport_SL254	8493	1	8493	8493
bin130	S_Typhimurium_LT2_accessory_0348_length_8487	S_Typhimurium_LT2	8487	1	8487	8487
bin131	S_Agona_SL483_accessory_0036_length_23682	S_Agona_SL483	23682	1218	9669	8452
bin132	S_Bongori_NCTC12419_accessory_0170_length_8295	S_Bongori_NCTC12419	8295	1	8295	8295
bin133	S_ParatyphiC_RKS4594_accessory_0421_length_8096	S_ParatyphiC_RKS4594	8096	1	8096	8096
bin134	S_Typhimurium_ST313_AGEnt_accessory_0877_length_8076	S_Typhimurium_ST313_AGEnt	8076	1	8076	8076
bin135	S_Agona_SL483_accessory_0142_length_8083	S_Agona_SL483	8083	102	8083	7982
bin136	S_Bongori_NCTC12419_accessory_0418_length_7946	S_Bongori_NCTC12419	7946	1	7946	7946
bin137	S_Typhi_CT18_accessory_0218_length_55888	S_Typhi_CT18	55888	47947	55888	7942
bin138	S_Bongori_NCTC12419_accessory_0273_length_7916	S_Bongori_NCTC12419	7916	1	7916	7916
bin139	S_Typhimurium_LT2_accessory_0029_length_46519	S_Typhimurium_LT2	46519	27249	35090	7842
bin140	S_Dublin_CT02021853_accessory_0471_length_7832	S_Dublin_CT02021853	7832	1	7832	7832
bin141	S_Bongori_NCTC12419_accessory_0250_length_7828	S_Bongori_NCTC12419	7828	1	7828	7828
bin142	S_Typhimurium_LT2_accessory_0105_length_42710	S_Typhimurium_LT2	42710	3094	10836	7743
bin143	S_Typhi_CT18_accessory_0020_length_9513	S_Typhi_CT18	9513	1835	9513	7679
bin144	S_Heidelberg_SL476_accessory_0020_length_9723	S_Heidelberg_SL476	9723	1	7662	7662
bin145	S_Bongori_NCTC12419_accessory_0341_length_7594	S_Bongori_NCTC12419	7594	1	7594	7594
bin146	S_Abortusovis_SR44_AGEnt_accessory_0446_length_7509	S_Abortusovis_SR44	7509	1	7509	7509
bin147	S_ParatyphiA_AKU12601_accessory_0002_length_209040	S_ParatyphiA_AKU12601	209040	166057	173540	7484
bin148	S_Agona_SL483_accessory_0241_length_31259	S_Agona_SL483	31259	22951	30421	7471
bin149	S_Schwarzengrund_CVM19633_accessory_0499_length_40147	S_Schwarzengrund_CVM19633	40147	16226	23677	7452
bin150	S_Schwarzengrund_CVM19633_accessory_0499_length_40147	S_Schwarzengrund_CVM19633	40147	6534	13974	7441
bin151	S_Bongori_NCTC12419_accessory_0541_length_19136	S_Bongori_NCTC12419	19136	11750	19136	7387
bin152	S_Bongori_NCTC12419_accessory_0340_length_7359	S_Bongori_NCTC12419	7359	1	7359	7359
bin153	S_Bongori_NCTC12419_accessory_0244_length_7422	S_Bongori_NCTC12419	7422	1	7354	7354
bin154	S_Newport_SL254_accessory_0513_length_15770	S_Newport_SL254	15770	4651	11994	7344
bin155	S_Typhi_Ty2_accessory_0089_length_23062	S_Typhi_Ty2	23062	367	7651	7285
bin156	S_Agona_SL483_accessory_0541_length_45654	S_Agona_SL483	45654	18477	25735	7259
bin157	S_ParatyphiA_AKU12601_accessory_0350_length_7234	S_ParatyphiA_AKU12601	7234	1	7234	7234
bin158	S_Bongori_NCTC12419_accessory_0475_length_9191	S_Bongori_NCTC12419	9191	2029	9191	7163
bin159	S_Typhi_Ty2_accessory_0530_length_34236	S_Typhi_Ty2	34236	1	7073	7073
bin160	S_ParatyphiB_SPB7_accessory_0537_length_7069	S_ParatyphiB_SPB7	7069	1	7069	7069
bin161	S_ParatyphiC_RKS4594_accessory_0134_length_39779	S_ParatyphiC_RKS4594	39779	20932	27985	7054
bin162	S_Typhimurium_ST313_AGEnt_accessory_0782_length_7026	S_Typhimurium_ST313_AGEnt	7026	1	6980	6980
bin163	S_Choleraesuis_SCB67_accessory_0134_length_50130	S_Choleraesuis_SCB67	50130	43159	50130	6972
bin164	S_Gallinarum_28791_accessory_0046_length_6939	S_Gallinarum_28791	6939	1	6939	6939
bin165	S_Bongori_NCTC12419_accessory_0241_length_6931	S_Bongori_NCTC12419	6931	1	6931	6931
bin166	S_ParatyphiA_AKU12601_accessory_0334_length_15396	S_ParatyphiA_AKU12601	15396	1	6904	6904
bin167	S_Bongori_NCTC12419_accessory_0125_length_12262	S_Bongori_NCTC12419	12262	5364	12262	6899
bin168	S_Typhimurium_LT2_accessory_0395_length_6844	S_Typhimurium_LT2	6844	1	6844	6844
bin169	S_Schwarzengrund_CVM19633_accessory_0132_length_6834	S_Schwarzengrund_CVM19633	6834	1	6834	6834
bin170	S_Heidelberg_SL476_accessory_0158_length_41604	S_Heidelberg_SL476	41604	16830	23633	6804
bin171	S_Gall_Pullorum_RKS5078_accessory_0055_length_6706	S_Gall_Pullorum_RKS5078	6706	1	6706	6706
bin172	S_Bongori_NCTC12419_accessory_0338_length_6598	S_Bongori_NCTC12419	6598	1	6598	6598
bin173	S_Bongori_NCTC12419_accessory_0153_length_6578	S_Bongori_NCTC12419	6578	1	6578	6578
bin174	S_Bongori_NCTC12419_accessory_0197_length_6547	S_Bongori_NCTC12419	6547	1	6547	6547
bin175	S_Bongori_NCTC12419_accessory_0413_length_6512	S_Bongori_NCTC12419	6512	1	6512	6512
bin176	S_ParatyphiA_AKU12601_accessory_0392_length_6486	S_ParatyphiA_AKU12601	6486	1	6486	6486
bin177	S_Newport_SL254_accessory_0531_length_13519	S_Newport_SL254	13519	5543	12014	6472
bin178	S_Bongori_NCTC12419_accessory_0146_length_6433	S_Bongori_NCTC12419	6433	1	6433	6433
bin179	S_Bongori_NCTC12419_accessory_0093_length_6428	S_Bongori_NCTC12419	6428	1	6428	6428
bin180	S_Agona_SL483_accessory_0360_length_6418	S_Agona_SL483	6418	1	6418	6418
bin181	S_Bongori_NCTC12419_accessory_0388_length_6377	S_Bongori_NCTC12419	6377	1	6377	6377
bin182	S_Schwarzengrund_CVM19633_accessory_0505_length_6338	S_Schwarzengrund_CVM19633	6338	1	6338	6338
bin183	S_Gall_Pullorum_RKS5078_accessory_0173_length_61186	S_Gall_Pullorum_RKS5078	61186	20814	27043	6230
bin184	S_Typhimurium_SL1344_accessory_0389_length_6212	S_Typhimurium_SL1344	6212	1	6212	6212
bin185	S_Bongori_NCTC12419_accessory_0395_length_6195	S_Bongori_NCTC12419	6195	1	6195	6195
bin186	S_Bongori_NCTC12419_accessory_0519_length_6165	S_Bongori_NCTC12419	6165	1	6165	6165
bin187	S_Typhi_Ty2_accessory_0530_length_34236	S_Typhi_Ty2	34236	12980	19057	6078
bin188	S_Choleraesuis_SCB67_accessory_0260_length_6199	S_Choleraesuis_SCB67	6199	128	6199	6072
bin189	S_Schwarzengrund_CVM19633_accessory_0001_length_110227	S_Schwarzengrund_CVM19633	110227	26530	32589	6060
bin190	S_ParatyphiC_RKS4594_accessory_0108_length_45520	S_ParatyphiC_RKS4594	45520	32016	38060	6045
bin191	S_Dublin_CT02021853_accessory_0015_length_5994	S_Dublin_CT02021853	5994	1	5994	5994
bin192	S_Agona_SL483_accessory_0169_length_5972	S_Agona_SL483	5972	1	5972	5972
bin193	S_Bongori_NCTC12419_accessory_0398_length_5944	S_Bongori_NCTC12419	5944	1	5944	5944
bin194	S_Bongori_NCTC12419_accessory_0260_length_5939	S_Bongori_NCTC12419	5939	1	5939	5939
bin195	S_Typhimurium_LT2_accessory_0295_length_48444	S_Typhimurium_LT2	48444	270	6145	5876
bin196	S_Bongori_NCTC12419_accessory_0203_length_5807	S_Bongori_NCTC12419	5807	1	5807	5807
bin197	S_Agona_SL483_accessory_0473_length_5799	S_Agona_SL483	5799	1	5799	5799
bin198	S_Schwarzengrund_CVM19633_accessory_0348_length_5795	S_Schwarzengrund_CVM19633	5795	1	5795	5795
bin199	S_Agona_SL483_accessory_0426_length_5778	S_Agona_SL483	5778	1	5778	5778
bin200	S_Bongori_NCTC12419_accessory_0084_length_5777	S_Bongori_NCTC12419	5777	1	5777	5777
bin201	S_Choleraesuis_SCB67_accessory_0243_length_6096	S_Choleraesuis_SCB67	6096	1	5776	5776
bin202	S_Bongori_NCTC12419_accessory_0361_length_5704	S_Bongori_NCTC12419	5704	1	5704	5704
bin203	S_Heidelberg_SL476_accessory_0550_length_5690	S_Heidelberg_SL476	5690	1	5690	5690
bin204	S_Enteritidis_P125109_accessory_0235_length_45029	S_Enteritidis_P125109	45029	19576	25254	5679
bin205	S_Heidelberg_SL476_accessory_0223_length_13034	S_Heidelberg_SL476	13034	1	5600	5600
bin206	S_Typhi_CT18_accessory_0356_length_5544	S_Typhi_CT18	5544	1	5544	5544
bin207	S_Bongori_NCTC12419_accessory_0448_length_5480	S_Bongori_NCTC12419	5480	1	5480	5480
bin208	S_Typhimurium_LT2_accessory_0489_length_5464	S_Typhimurium_LT2	5464	1	5464	5464
bin209	S_Typhimurium_LT2_accessory_0260_length_15708	S_Typhimurium_LT2	15708	1	5438	5438
bin210	S_Typhi_CT18_accessory_0208_length_5425	S_Typhi_CT18	5425	1	5425	5425
bin211	S_Typhi_Ty2_accessory_0336_length_21232	S_Typhi_Ty2	21232	15457	20832	5376
bin212	S_Agona_SL483_accessory_0241_length_31259	S_Agona_SL483	31259	9681	15026	5346
bin213	S_Bongori_NCTC12419_accessory_0065_length_8142	S_Bongori_NCTC12419	8142	1933	7242	5310
bin214	S_Bongori_NCTC12419_accessory_0372_length_5295	S_Bongori_NCTC12419	5295	1	5295	5295
bin215	S_Abortusovis_SR44_AGEnt_accessory_0496_length_22122	S_Abortusovis_SR44	22122	16845	22122	5278
bin216	S_Bongori_NCTC12419_accessory_0025_length_5263	S_Bongori_NCTC12419	5263	1	5263	5263
bin217	S_Typhimurium_ST313_AGEnt_accessory_0767_length_5182	S_Typhimurium_ST313_AGEnt	5182	1	5182	5182
bin218	S_ParatyphiC_RKS4594_accessory_0153_length_15290	S_ParatyphiC_RKS4594	15290	4107	9260	5154
bin219	S_Bongori_NCTC12419_accessory_0104_length_5108	S_Bongori_NCTC12419	5108	1	5108	5108
bin220	S_Abortusovis_SR44_AGEnt_accessory_0186_length_5083	S_Abortusovis_SR44	5083	1	5083	5083
bin221	S_Abortusovis_SR44_AGEnt_accessory_0088_length_6837	S_Abortusovis_SR44	6837	675	5743	5069
bin222	S_Typhimurium_ST313_AGEnt_accessory_0675_length_4987	S_Typhimurium_ST313_AGEnt	4987	1	4987	4987
bin223	S_Agona_SL483_accessory_0329_length_6840	S_Agona_SL483	6840	1905	6840	4936
bin224	S_Bongori_NCTC12419_accessory_0187_length_4918	S_Bongori_NCTC12419	4918	1	4918	4918
bin225	S_Heidelberg_SL476_accessory_0399_length_4917	S_Heidelberg_SL476	4917	1	4917	4917
bin226	S_Choleraesuis_SCB67_accessory_0282_length_4872	S_Choleraesuis_SCB67	4872	1	4872	4872
bin227	S_Choleraesuis_SCB67_accessory_0002_length_138742	S_Choleraesuis_SCB67	138742	52730	57579	4850
bin228	S_ParatyphiA_AKU12601_accessory_0002_length_209040	S_ParatyphiA_AKU12601	209040	135406	140251	4846
bin229	S_Bongori_NCTC12419_accessory_0246_length_16827	S_Bongori_NCTC12419	16827	1	4829	4829
bin230	S_ParatyphiA_AKU12601_accessory_0047_length_4817	S_ParatyphiA_AKU12601	4817	1	4817	4817
bin231	S_Gallinarum_28791_accessory_0232_length_4802	S_Gallinarum_28791	4802	1	4802	4802
bin232	S_Bongori_NCTC12419_accessory_0125_length_12262	S_Bongori_NCTC12419	12262	1	4699	4699
bin233	S_Typhimurium_ST313_AGEnt_accessory_0565_length_4756	S_Typhimurium_ST313_AGEnt	4756	1	4630	4630
bin234	S_Schwarzengrund_CVM19633_accessory_0275_length_4621	S_Schwarzengrund_CVM19633	4621	1	4621	4621
bin235	S_Typhimurium_SL1344_accessory_0308_length_81547	S_Typhimurium_SL1344	81547	69	4670	4602
bin236	S_Schwarzengrund_CVM19633_accessory_0002_length_4585	S_Schwarzengrund_CVM19633	4585	1	4585	4585
bin237	S_Bongori_NCTC12419_accessory_0347_length_4558	S_Bongori_NCTC12419	4558	1	4558	4558
bin238	S_Enteritidis_P125109_accessory_0431_length_4553	S_Enteritidis_P125109	4553	1	4553	4553
bin239	S_Typhi_CT18_accessory_0218_length_55888	S_Typhi_CT18	55888	43220	47764	4545
bin240	S_Abortusovis_SR44_AGEnt_accessory_0130_length_4525	S_Abortusovis_SR44	4525	1	4525	4525
bin241	S_Typhimurium_SL1344_accessory_0308_length_81547	S_Typhimurium_SL1344	81547	29851	34342	4492
bin242	S_Dublin_CT02021853_accessory_0001_length_74551	S_Dublin_CT02021853	74551	29919	34409	4491
bin243	S_ParatyphiC_RKS4594_accessory_0397_length_4476	S_ParatyphiC_RKS4594	4476	1	4476	4476
bin244	S_Gall_Pullorum_RKS5078_accessory_0173_length_61186	S_Gall_Pullorum_RKS5078	61186	31468	35883	4416
bin245	S_Bongori_NCTC12419_accessory_0316_length_4411	S_Bongori_NCTC12419	4411	1	4411	4411
bin246	S_Bongori_NCTC12419_accessory_0131_length_4379	S_Bongori_NCTC12419	4379	1	4379	4379
bin247	S_Bongori_NCTC12419_accessory_0147_length_4367	S_Bongori_NCTC12419	4367	1	4367	4367
bin248	S_Gall_Pullorum_RKS5078_accessory_0414_length_4888	S_Gall_Pullorum_RKS5078	4888	575	4888	4314
bin249	S_Bongori_NCTC12419_accessory_0175_length_4285	S_Bongori_NCTC12419	4285	1	4285	4285
bin250	S_Newport_SL254_accessory_0221_length_11026	S_Newport_SL254	11026	3320	7582	4263
bin251	S_ParatyphiB_SPB7_accessory_0189_length_84789	S_ParatyphiB_SPB7	84789	27826	32082	4257
bin252	S_Bongori_NCTC12419_accessory_0035_length_4225	S_Bongori_NCTC12419	4225	1	4225	4225
bin253	S_Bongori_NCTC12419_accessory_0007_length_4199	S_Bongori_NCTC12419	4199	1	4199	4199
bin254	S_Schwarzengrund_CVM19633_accessory_0203_length_4198	S_Schwarzengrund_CVM19633	4198	1	4198	4198
