		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
DNA	PIF-Harbinger?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-hATm	0	0	0	0	0	0	0	0	0	0	0	0	470	644	596	0	0	0	45	129	120	126	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Stowaway	424	4644	40257	97833	159991	189508	200296	215320	207808	202456	199748	230513	256856	290822	316368	353349	358981	371664	356164	324279	312596	276828	241333	199381	163117	118307	79515	51416	30970	18581	13667	9854	7912	1251	1233	232	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L2	0	3203	6845	11091	2340	1115	1427	1345	2368	247	0	372	124	45	143	44	541	1329	685	1507	1260	821	1841	760	1933	924	833	301	501	91	194	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC	Helitron?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	78	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia?	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	66	120	0	0	0	63	0	153	104	385	162	209	119	0	780	0	130	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	PIF-Harbinger	5463	16327	52850	141748	100786	73630	99086	98618	115254	100704	99472	110190	122474	104958	98969	105614	99173	88714	96356	84794	88503	80127	80683	78773	63729	57149	47827	46341	41434	28912	22386	17367	10016	5318	4884	1942	317	36	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia	6327	37191	132559	472783	546460	599964	898280	823421	882531	727560	639248	606591	481216	435333	428996	375726	375361	468401	402834	481600	519391	526116	507453	560970	537258	524522	514711	464436	393123	347228	271225	223914	129546	65928	45792	18643	6895	1939	943	88	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy	8535	42782	314925	806510	953484	980322	1236070	1519954	1719484	1889363	1787682	1773779	1818711	1945917	1761243	1347240	1564298	1498389	1139055	1009181	957285	983337	992453	926915	844104	700719	495668	435275	405335	354450	276256	203593	127273	81471	42306	22866	13038	4307	1618	1251	81	115	0	0	0	0	0	0	0	0
nonLTR	nonLTR	207	904	2432	10965	22999	44961	51039	50418	51106	38148	30101	30699	30439	30020	29710	23708	30502	19562	21381	17990	13673	13088	10971	10164	12733	9782	5526	4103	2304	1671	1032	735	156	110	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT	0	0	35	236	208	204	1605	1217	2398	4514	4386	5533	5261	5526	10285	9375	14536	15361	20773	21451	22798	23604	18871	16821	16109	13619	11721	8765	6625	2834	1683	1209	498	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE?	SINE?	2598	3005	3292	2443	2710	4118	3142	2142	2739	2091	4885	2344	1837	3757	2207	4459	1856	2941	3253	3014	4568	3041	1584	904	174	1119	439	285	386	251	304	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-R2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	60	0	180	80	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	CMC-EnSpm	8617	30838	49257	60363	71262	124568	125270	121990	124594	110770	80625	75726	72092	100911	71726	75957	66188	59053	62648	68981	65581	59052	58857	52806	57353	85055	88979	143346	189966	170486	117038	83709	40326	31047	10646	5575	2167	1110	170	264	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy?	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	466	416	0	593	452	1288	1030	1849	3845	3262	2296	2549	1031	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Cassandra	286	5361	17544	43005	72914	88482	76021	51355	41795	28617	18564	20225	18753	15497	18685	19322	14617	17057	14470	12537	13373	9461	11852	10364	10444	8907	10591	6292	6515	4805	3923	2655	4239	2056	1420	362	425	230	0	233	0	0	0	0	0	0	0	0	0	0
LTR	LTR	20406	83281	211570	366154	496425	793068	1128504	1249666	1322139	1410152	1467322	1399732	1303540	1263698	1272359	1333914	1362736	1207161	1157228	1062944	1073989	1009886	942242	806984	659021	538565	379327	288332	210198	171741	116609	102649	63935	50890	19334	9931	3355	722	930	109	0	0	0	0	0	0	0	0	0	0
DNA	Sola-1	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Pao	90	311	105	1862	3541	23000	34606	17679	6417	5264	3298	2833	5845	7354	5186	4780	8077	9753	8379	8394	11217	8125	7635	11028	6501	4405	6609	5730	3692	1638	491	520	554	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon	RTE-derived	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	149	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	DIRS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L1-Tx1	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	47	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L1	1218	3038	6832	14022	43364	45107	66336	104326	169767	177158	172087	194109	205587	182906	244222	250214	313218	293477	277199	285241	344811	407825	449130	504117	657762	688199	786316	915622	907841	707971	569345	358506	200972	95458	41847	16262	7651	4211	1675	598	391	0	0	0	0	0	0	0	0	0
DNA	Ginger-1	28	0	70	0	100	622	950	2638	1419	857	3193	3415	3666	1830	2632	1709	2098	2452	3080	2832	1960	1704	1714	1195	839	175	83	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	MULE-MuDR	672	15842	43521	92652	72647	47226	54561	129314	66454	51399	58531	99977	110155	168351	151355	119431	81359	74313	43308	46525	40397	42987	40393	44694	48070	43501	73372	73915	51015	50931	52232	60534	39257	26799	17958	8391	8986	346	1603	641	381	547	0	0	0	0	0	0	0	0
LINE	RTE-BovB	1060	3308	23647	36979	60729	84451	145257	221332	162308	134960	163312	162821	200096	225220	262044	216715	208342	177873	180606	188862	196240	215413	227791	187875	164522	160189	127804	108155	76671	43415	36305	23286	14784	9971	3214	1606	880	408	26	0	0	0	0	0	0	0	0	0	0	0
RC?	Helitron?	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	53	55	120	0	386	116	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Dualen	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	R2-NeSL	113	54	0	104	268	41	267	544	1682	3277	7646	11267	15117	19736	20342	18669	21673	18386	15641	10961	6788	4118	4152	4070	2358	2315	1419	786	499	359	348	242	221	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Ac	3063	34881	150026	188515	263425	271553	244608	240485	244288	254687	277547	268684	283359	290714	299542	333746	336206	352166	350266	319419	324935	300897	270157	254955	227237	190248	156947	125631	123170	80654	62814	45741	29628	17458	12156	3276	2344	697	401	0	0	0	0	0	0	0	0	0	0	0
DNA	P	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Novosib	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	70	0	0	0	65	0	11	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon	Retroposon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA	40642	180211	268119	443231	720686	850771	968757	1123837	1386459	1611499	1785534	1775128	1737411	1707666	1648072	1589270	1577920	1520788	1484448	1440231	1372562	1209825	1019598	860839	668817	543223	387134	276668	199871	125213	89733	64428	33520	22708	8626	4429	2000	979	142	0	0	0	0	0	0	0	0	0	0	0
LINE	RTE-X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	LINE	121116	68646	83718	198827	318665	376976	446987	458795	521752	471117	542134	502613	494705	454804	423740	436863	425330	392249	372960	416994	366656	331393	309364	265113	216317	182486	143619	99663	68275	43456	27090	18273	12712	6024	5700	1642	1052	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Pogo	25	0	1479	6642	12929	26722	16951	16375	13708	7813	4481	4070	3719	1088	608	2475	2446	2875	5528	4926	5848	4862	5457	5564	5959	6459	6056	4935	3989	4059	3615	2041	1544	1214	434	487	148	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Caulimovirus	667	17447	42138	16885	38599	14520	9333	20231	8229	7946	786	4483	2754	866	6229	5784	12750	3522	6738	3896	2229	4883	4476	8583	7276	12376	8978	7901	6464	11934	6625	3235	1408	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Maverick	42	0	48	0	43	39	0	726	830	2804	4948	6246	8410	10505	10041	14412	13522	8650	12706	15841	18684	21630	26761	18429	19287	7905	6407	3583	2103	1591	955	1394	241	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Penelope	0	0	0	0	0	0	0	0	215	2030	4535	5828	5763	5464	2223	1283	1578	2080	3235	2083	2339	2167	2893	1220	1268	1370	1004	261	190	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Tag1	0	209	1655	7578	8332	5784	10550	17946	20860	32747	26840	25615	22180	17386	19334	25558	27157	29059	32883	27188	29982	25989	28923	19585	17912	19907	13178	12471	11120	8919	4041	9593	8985	3331	2536	1606	0	217	0	0	0	0	0	0	0	0	0	0	0	0
